rec_id_hour,datetime,season_hour,year_hour,month_hour,hour,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,day_of_week,rec_id_day,season_day,year_day,month_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day
1,2011-01-01,Winter,2011,Jan,0,0,Saturday,No,Clear,9.84,14.395,81.0,0.0,3,13,16,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
2,2011-01-01,Winter,2011,Jan,1,0,Saturday,No,Clear,9.02,13.635,80.0,0.0,8,32,40,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
3,2011-01-01,Winter,2011,Jan,2,0,Saturday,No,Clear,9.02,13.635,80.0,0.0,5,27,32,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
4,2011-01-01,Winter,2011,Jan,3,0,Saturday,No,Clear,9.84,14.395,75.0,0.0,3,10,13,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
5,2011-01-01,Winter,2011,Jan,4,0,Saturday,No,Clear,9.84,14.395,75.0,0.0,0,1,1,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
6,2011-01-01,Winter,2011,Jan,5,0,Saturday,No,Misty,9.84,12.879999999999999,75.0,6.0032,0,1,1,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
7,2011-01-01,Winter,2011,Jan,6,0,Saturday,No,Clear,9.02,13.635,80.0,0.0,2,0,2,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
8,2011-01-01,Winter,2011,Jan,7,0,Saturday,No,Clear,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
9,2011-01-01,Winter,2011,Jan,8,0,Saturday,No,Clear,9.84,14.395,75.0,0.0,1,7,8,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
10,2011-01-01,Winter,2011,Jan,9,0,Saturday,No,Clear,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
11,2011-01-01,Winter,2011,Jan,10,0,Saturday,No,Clear,15.58,19.695,76.0,16.997899999999998,12,24,36,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
12,2011-01-01,Winter,2011,Jan,11,0,Saturday,No,Clear,14.76,16.665,81.0,19.0012,26,30,56,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
13,2011-01-01,Winter,2011,Jan,12,0,Saturday,No,Clear,17.22,21.21,77.0,19.0012,29,55,84,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
14,2011-01-01,Winter,2011,Jan,13,0,Saturday,No,Misty,18.86,22.725,72.0,19.999499999999998,47,47,94,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
15,2011-01-01,Winter,2011,Jan,14,0,Saturday,No,Misty,18.86,22.725,72.0,19.0012,35,71,106,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
16,2011-01-01,Winter,2011,Jan,15,0,Saturday,No,Misty,18.04,21.97,77.0,19.999499999999998,40,70,110,Saturday,1,Winter,2011,Jan,0,Saturday,No,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
